identifiant;id_dicom;nom;type;payant;adresse;arrondissement;statut_ouverture;horaires_periode;horaires_lundi;horaires_mardi;horaires_mercredi;horaires_jeudi;horaires_vendredi;horaires_samedi;horaires_dimanche;geo_shape;geo_point_2d;proposition_usager
LC49;;Eglise Saint-Dominique;Lieux de culte;Non;16  RUE TOMBE ISSOIRE;75014;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.335011688850815, 48.83208869828062], ""type"": ""Point""}";48.83208869828062, 2.335011688850815;Non
LC132;19465;Ancienne Eglise Saint-François de Sales;Lieux de culte;Non;6  RUE BREMONTIER;75017;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.304837530190575, 48.88448423007145], ""type"": ""Point""}";48.88448423007145, 2.304837530190575;Non
OMP39;;AUTRE JARDIN JUAN MIRO;Ombrière pérenne;Non;34 RUE GANDON;75013;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.3605060078348195, 48.82022828711019], ""type"": ""Point""}";48.82022828711019, 2.3605060078348195;Non
LC9;;Chapelle Espagnole du Coeur Immacule de Marie;Lieux de culte;Non;51b RUE POMPE;75016;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.2753575235965515, 48.862384169434456], ""type"": ""Point""}";48.862384169434456, 2.2753575235965515;Non
MU19;;Palais de Tokyo;Musée;Oui;13 Avenue du Président Wilson;75016;;;;;;;;;;"{""coordinates"": [2.296415469981193, 48.864108937951734], ""type"": ""Point""}";48.864108937951734, 2.296415469981193;Non
BR32;<Nul>;Brumisateur Square Emmanuel Fleury;Brumisateur;Non;40 rue Le Vau;75020;Ouvert;Horaires d'ouvertures du parc;;;;;;;;"{""coordinates"": [2.411896651629755, 48.870363647589784], ""type"": ""Point""}";48.870363647589784, 2.411896651629755;Non
LC64;19449;Eglise Saint-Louis En L'ile;Lieux de culte;Non;19bis Rue Saint-Louis en l'Île;75004;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.3575751282409163, 48.85124553363059], ""type"": ""Point""}";48.85124553363059, 2.3575751282409163;Non
LC102;19458;Eglise Saint-Gervais Saint-Protais;Lieux de culte;Non;13  RUE BARRES;75004;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.3547153914800085, 48.85551489804358], ""type"": ""Point""}";48.85551489804358, 2.3547153914800085;Non
LC125;19471;Eglise Saint-Ferdinand;Lieux de culte;Non;27  RUE ARMAILLE;75017;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.2908191650988368, 48.87862458893946], ""type"": ""Point""}";48.87862458893946, 2.2908191650988368;Non
LC139;;Sainte Chapelle;Musée;Oui;8 BD PALAIS;75001;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.3450479597611418, 48.85534887303478], ""type"": ""Point""}";48.85534887303478, 2.3450479597611418;Non
BR12;<Nul>;Brumisateur Jardin du Ranelagh;Brumisateur;Non;1 avenue Prudhon;75016;Ouvert;Horaires d'ouvertures du parc;;;;;;;;"{""coordinates"": [2.2693472863839554, 48.85865834708737], ""type"": ""Point""}";48.85865834708737, 2.2693472863839554;Non
OMP71;;ABRI SQUARE JEAN LECLAIRE;Ombrière pérenne;Non;44T RUE LANTIEZ;75017;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.3253530908265576, 48.89600725902265], ""type"": ""Point""}";48.89600725902265, 2.3253530908265576;Non
OMP78;;TOILES TENDUES JARDIN HANS ET SOPHIE SCHOLL;Ombrière pérenne;Non;12 BOULEVARD DU BOIS LE PRETRE;75017;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.3207070997513726, 48.899734512288155], ""type"": ""Point""}";48.899734512288155, 2.3207070997513726;Non
OMP93;;ABRI PARC DES BUTTES CHAUMONT;Ombrière pérenne;Non;7 RUE BOTZARIS;75019;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.383093212299944, 48.88104096195704], ""type"": ""Point""}";48.88104096195704, 2.383093212299944;Non
OM05;;Ombrière Bercy 1;Ombrière temporaire;Non;PLACE DU BATAILLON DU PACIFIQUE;75012;;Accès libre;;;;;;;;"{""coordinates"": [2.379723024700669, 48.840151573613454], ""type"": ""Point""}";48.840151573613454, 2.379723024700669;Non
PI13;2918;Piscine Pontoise;Piscine;Oui;19, rue de Pontoise;75005;;à partir du 02/09/24;06h30 - 07h45 / 11h45 - 19h45 / 20h00 - 22h45;06h30 - 07h45 / 11h45 - 13h45 / 16h30 - 19h45 / 20;06h30 - 19h45 / 11h30 - 19h45 / 20h00 - 22h45;06h30 - 07h45 / 11h45 - 13h45 / 16h30 - 19h45 / 20;06h30 - 07h45 / 11h45 - 19h45 / 20h00 - 22h45;09h00 - 18h45;09h00 - 18h45;"{""coordinates"": [2.351425386209243, 48.848969389746145], ""type"": ""Point""}";48.848969389746145, 2.351425386209243;Non
MU5;1519;Musée Municipal Cognacq-Jay;Musée;;;75003;;du 01/01/20 au 01/01/32;-;10h00 - 18h00;10h00 - 18h00;10h00 - 18h00;10h00 - 18h00;10h00 - 18h00;10h00 - 18h00;"{""coordinates"": [2.36166915594337, 48.85812434839947], ""type"": ""Point""}";48.85812434839947, 2.36166915594337;Non
PI3;2916;Piscine Suzanne Berlioux;Piscine;Oui;Forum des Halles;75001;;du 02/09/24 au 20/10/24;06h30 - 08h30 / 10h30 - 23h30;12h00 - 22h30;06h30 - 08h30 / 12h00 - 23h30;12h00 - 22h30;06h30 - 08h30 / 12h00 - 23h30;09h00 - 19h00;09h00 - 19h00;"{""coordinates"": [2.347164560582538, 48.861793970595045], ""type"": ""Point""}";48.861793970595045, 2.347164560582538;Non
OMP28;;ABRI PARC DE BERCY;Ombrière pérenne;Non;2 RUE JOSEPH KESSEL;75012;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.3801791205766856, 48.836917540605896], ""type"": ""Point""}";48.836917540605896, 2.3801791205766856;Non
OM18;;Ombrière Square du Serment de Koufra;Ombrière temporaire;Non;Square du Serment de Koufra;75014;;Installation prévue le 21 juillet 2023 - Horaires d'ouverture du parc;;;;;;;;"{""coordinates"": [2.323805729824744, 48.821465371856036], ""type"": ""Point""}";48.821465371856036, 2.323805729824744;Non
OMP34;;PREAU PARC DE CHOISY;Ombrière pérenne;Non;1 RUE GEORGE EASTMAN;75013;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.360280544993296, 48.828200886578834], ""type"": ""Point""}";48.828200886578834, 2.360280544993296;Non
MU63;;Musée Curie;Musée;Non;1 rue Pierre et Marie Curie;75005;;;;;;;;;;"{""coordinates"": [2.3445874160562052, 48.844161495510505], ""type"": ""Point""}";48.844161495510505, 2.3445874160562052;Non
;;Bibliothèque pour Tous Carrefour 10è;Bibliothèque;Non;12 Rue de l'Aqueduc;75010;;;;;;;;;;"{""coordinates"": [2.3597300155562175, 48.88032190312209], ""type"": ""Point""}";48.88032190312209, 2.3597300155562175;Non
BR30;<Nul>;Brumisateur Square Edouard Vaillant;Brumisateur;Non;3 bis rue de la Chine;75020;;Horaires d'ouvertures du parc;;;;;;;;"{""coordinates"": [2.400218541760969, 48.86547590440085], ""type"": ""Point""}";48.86547590440085, 2.400218541760969;Non
MA15;(3720);MAIRIE DU 15E;Mairie d'arrondissement;Non;31 rue PECLET;75015;;;14h - 17h;14h - 17h;14h - 17h;14h - 17h;14h - 17h;14h - 17h;14h - 17h;"{""coordinates"": [2.299888344282996, 48.84152651101605], ""type"": ""Point""}";48.84152651101605, 2.299888344282996;Non
